date,ride_id_count,distance_km_mean,month_sin,month_cos,day_of_week_sin,day_of_week_cos,wind_avg,percip_total,temp_min,temp_max
2023-06-21,201042,1.9129646323985208,0.5000000000000003,-0.8660254037844385,0.43388373911755823,-0.900968867902419,16.9141634,0.0,16.666666666666664,22.777777777777775
2023-06-22,177933,1.884564088180034,0.5000000000000003,-0.8660254037844385,-0.433883739117558,-0.9009688679024191,14.033444800000002,0.0,15.555555555555555,22.22222222222222
2023-06-23,164587,1.8773239832321975,0.5000000000000003,-0.8660254037844385,-0.9749279121818236,-0.2225209339563146,5.037234199999999,0.04,18.333333333333332,21.666666666666664
2023-06-24,169098,1.9565142085110403,0.5000000000000003,-0.8660254037844385,-0.7818314824680299,0.6234898018587334,1.0782578,0.07,20.555555555555554,25.555555555555554
2023-06-25,177832,1.9586699808514951,0.5000000000000003,-0.8660254037844385,-2.4492935982947064e-16,1.0,2.5266638,0.0,21.666666666666664,29.444444444444443
2023-06-26,155827,1.8512866522776623,0.5000000000000003,-0.8660254037844385,0.7818314824680298,0.6234898018587336,6.485640200000001,0.51,20.0,25.555555555555554
2023-06-27,180718,1.9994924849412303,0.5000000000000003,-0.8660254037844385,0.9749279121818236,-0.22252093395631434,2.5266638,0.08,18.88888888888889,26.11111111111111
2023-06-28,199354,1.932275002051422,0.5000000000000003,-0.8660254037844385,0.43388373911755823,-0.900968867902419,6.115492,0.0,18.88888888888889,27.777777777777775
2023-06-29,199131,1.92500919672024,0.5000000000000003,-0.8660254037844385,-0.433883739117558,-0.9009688679024191,3.9589764,0.0,18.333333333333332,27.777777777777775
2023-06-30,172299,1.87268722099743,0.5000000000000003,-0.8660254037844385,-0.9749279121818236,-0.2225209339563146,2.8807186000000002,0.0,21.11111111111111,28.888888888888886
2023-07-01,178001,2.023000019565684,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,3.9589764,0.0,20.555555555555554,27.777777777777775
2023-07-02,136994,1.9395225342163624,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,3.6049216000000004,0.58,21.11111111111111,31.11111111111111
2023-07-03,160056,1.9305062598255143,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,4.3130312,0.45,22.22222222222222,31.666666666666664
2023-07-04,137928,1.9317797120027256,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1.0782578,0.63,22.777777777777775,28.333333333333332
2023-07-05,189563,1.9280813106899661,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,2.8807186000000002,0.0,22.22222222222222,33.888888888888886
2023-07-06,201634,1.9361863541973845,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,2.1565156,0.0,23.88888888888889,32.22222222222222
2023-07-07,202018,1.92946685980842,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1.0782578,0.0,23.333333333333332,30.555555555555554
2023-07-08,191899,1.9759271637930773,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,4.6831794,0.0,24.444444444444443,31.11111111111111
2023-07-09,145667,1.9235537410078198,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,2.8807186000000002,0.98,22.22222222222222,27.777777777777775
2023-07-10,202544,1.9182051510151725,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,6.115492,0.0,21.666666666666664,28.888888888888886
2023-07-11,219325,1.9301797876109783,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,4.6831794,0.0,20.0,31.666666666666664
2023-07-12,219150,1.8957668703220345,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,5.037234199999999,0.0,24.444444444444443,32.77777777777778
2023-07-13,216394,1.8976032870656465,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,3.9589764,0.0,25.0,31.11111111111111
2023-07-14,165340,1.840448701577103,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,7.1937498,0.48,21.666666666666664,28.888888888888886
2023-07-15,110252,2.006193161994898,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,2.5266638,0.04,21.666666666666664,31.11111111111111
2023-07-16,65329,1.884610311025894,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,2.5266638,1.32,23.333333333333332,25.555555555555554
2023-07-17,124908,1.9290470951576282,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,4.3130312,0.0,23.333333333333332,31.11111111111111
2023-07-18,122677,1.934867515612529,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,2.1565156,0.22,22.777777777777775,28.888888888888886
2023-07-19,132153,1.9441268264913754,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,2.1565156,0.0,22.22222222222222,26.666666666666664
2023-07-20,139790,1.963964226482383,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,4.3130312,0.0,22.22222222222222,31.11111111111111
